id,data_urls,authority_type,authority_name,program_title,program_url,item,technology_if_selected_other,short_description.en,program_status,program_start_raw,program_end_raw,payment_methods,rebate_value,amount.type,amount.number,amount.unit,amount.minimum,amount.maximum,amount.representative,bonus_description,equipment_standards_restrictions,equipment_capacity_restrictions,contractor_restrictions,income_restrictions,tax_filing_status_restrictions,owner_status,other_restrictions,stacking_details,financing_details,editorial_notes
CO-11,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Rebate up to $800 for Air Source Heat Pumps at least SEER 16, EER 12.5, HSPF 8.5. EPA Energy Star qualified installer: $800, otherwise $700.",active,1/1/2023,12/31/2023,rebate,"$800 if EPA Energy Star qualified installer, otherwise $700.",dollar_amount,800,,700,800,,,"At least SEER 16, EER 12.5, and HSPF 8.5",,Max rebate only available with EPA Energy Star qualified installer,,,homeowner,,,,
CO-12,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Rebate up to $1050 for Air Source Heat Pumps at least SEER 17, EER 12.5, HSPF 8.6. EPA Energy Star qualified installer: $1050, otherwise $950.",active,1/1/2023,12/31/2023,rebate,"$1050 if EPA Energy Star qualified installer, otherwise $950.",dollar_amount,1050,,950,1050,,,"At least SEER 17, EER 12.5, and HSPF 8.6",,Max rebate only available with EPA Energy Star qualified installer,,,homeowner,,,,
CO-13,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Up to $950 for early retirement of Air Source Heat Pump. At least SEER 15, EER 12.5, and HSPF 8.5, good working condition, and under 12 years old",active,1/1/2023,12/31/2023,rebate,"$950 if EPA Energy Star qualified installer, otherwise $850.",dollar_amount,950,,850,950,,,"Existing Air Source Heat Pump must be in good working condition and be less than 12 years old and at least SEER 15, EER 12.5, and HSPF 8.5",,,,,homeowner,,,,
CO-14,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Up to $1200 for early retirement of Air Source Heat Pump. At least SEER 16, EER 12.5, and HSPF 8.5, good working condition, and under 12 years old",active,1/1/2023,12/31/2023,rebate,"$1200 if EPA Energy Star qualified installer, otherwise $1100.",dollar_amount,1200,,1100,1200,,,"Existing Air Source Heat Pump must be in good working condition and be less than 12 years old and at least SEER 16, EER 12.5, and HSPF 8.5.",,,,,homeowner,,,,
CO-15,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Up to $1450 for early retirement of Air Source Heat Pump. At least SEER 17, EER 12.5, and HSPF 8.6, good working condition, and under 12 years old",active,1/1/2023,12/31/2023,rebate,"$1450 if EPA Energy Star qualified installer, otherwise $1350.",dollar_amount,1450,,1350,1450,,,"Existing Air Source Heat Pump must be in good working condition and be less than 12 years old and at least at least SEER 17, EER 12.5, and HSPF 8.6.",,,,,homeowner,,,,
CO-16,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Colorado Electric Residential Rebates,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,$500 rebate for ductless mini split heat pumps at least 20 SEER and 9 HSPF.,active,1/1/2023,12/31/2023,rebate,$500,dollar_amount,500,,,500,,,At least 20 SEER and 9 HSPF.,,,,,homeowner,,,,
CO-17,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Electrification Pilot Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Rebate up to $1100 for Air Source Heat Pumps at least SEER 15, EER 12.5, HSPF 8.5. EPA Energy Star qualified installer: $1100, otherwise $1000.",active,1/1/2023,12/31/2023,rebate,"$1100 if EPA Energy Star qualified installer, otherwise $1000.",dollar_amount,1100,,1000,1100,,,"at least SEER 15, EER 12.5, and HSPF 8.5",,Max rebate only available with EPA Energy Star qualified installer,,,homeowner,,,,
CO-18,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Electrification Pilot Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Rebate up to $1600 for Air Source Heat Pumps at least SEER 16, EER 12.5, HSPF 8.5. EPA Energy Star qualified installer: $1600, otherwise $1500.",active,1/1/2023,12/31/2023,rebate,"$1600 if EPA Energy Star qualified installer, otherwise $1500.",dollar_amount,1600,,1500,1600,,,"At least SEER 16, EER 12.5, and HSPF 8.5",,Max rebate only available with EPA Energy Star qualified installer,,,homeowner,,,,
CO-19,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Electrification Pilot Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,"Rebate up to $2100 for Air Source Heat Pumps at least SEER 17, EER 12.5, HSPF 8.6. EPA Energy Star qualified installer: $2100, otherwise $2000.",active,1/1/2023,12/31/2023,rebate,"$2100 if EPA Energy Star qualified installer, otherwise $2000.",dollar_amount,2100,,2000,2100,,,"At least SEER 17, EER 12.5, and HSPF 8.6",,Max rebate only available with EPA Energy Star qualified installer,,,homeowner,,,,
CO-20,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Electrification Pilot Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_air_conditioner_heater,,$900 rebate for a Ductless Mini Split Heat Pump that is at least 20 SEER and 9 HSPF.,active,1/1/2023,12/31/2023,rebate,$900,dollar_amount,900,,,900,,,At least 20 SEER and 9 HSPF,,,,,homeowner,,,,
CO-21,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Electrification Pilot Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,geothermal_heating_installation,,"$5,200 rebate for an Energy Star Geothermal Heat Pump that is at least 14 EER.",active,1/1/2023,12/31/2023,rebate,"$5,200",dollar_amount,5200,,,5200,,,At least 14.1 EER and Energy Star rated,,,,,homeowner,,,,
CO-22,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Electrification Pilot Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,heat_pump_water_heater,,$800 rebate for an Energy Star rated Heat Pump Water Heater.,active,1/1/2023,12/31/2023,rebate,$800,dollar_amount,800,,,800,,,Energy Star rated,,,,,homeowner,,,,
CO-23,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Ready EV Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,electric_vehicle_charger,,Rebate up to $500 for for the purchase and installation of a Level 2 (240 volt) electric vehicle charger,active,1/1/2023,12/31/2023,rebate,$500,dollar_amount,500,,,500,,,"Must be a qualified Level 2  (240 volt) smart charger. Options are 
-Charge Point Home Flex NEMA 6-50 Plug or NEMA 14-50 Plug
-Enel X Juicebox 32 32A NEMA 14-50 plug or hardwire
-Enel X Juicebox 40 40A NEMA 14-50 plug or hardwire",,Must be installed by a qualified/licensed electrician,,,homeowner,,,,
CO-24,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Ready EV Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,electric_vehicle_charger,,Income qualified rebate up to $1300 for for the purchase and installation of a Level 2 (240 volt) electric vehicle charger,active,1/1/2023,12/31/2023,rebate,"$1,300",dollar_amount,1300,,,1300,,,"Must be a qualified Level 2  (240 volt) smart charger. Options are 
-Charge Point Home Flex NEMA 6-50 Plug or NEMA 14-50 Plug
-Enel X Juicebox 32 32A NEMA 14-50 plug or hardwire
-Enel X Juicebox 40 40A NEMA 14-50 plug or hardwire",,Must be installed by a qualified/licensed electrician,"Eligibility can be satsified via membership in several other assistance programs, or income (also several ways). Details in : https://www.blackhillsenergy.com/sites/blackhillsenergy.com/files/2023%20COE%20Income%20Qualified%20EV%20Residential%20Rebate%20Form.pdf",,homeowner,,,,
CO-25,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Ready EV Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,new_electric_vehicle,,"Income qualified rebate up to $5,500 for a new EV with an MSRP up to $50,000",active,1/1/2023,12/31/2023,rebate,"$5,500",dollar_amount,5500,,,5500,,,"To qualify for the new EV Rebate, the purchased EV: (1) must not have been previously owned or leased
and must not have received an EV Rebate under this program (each EV can only receive one EV Rebate over its lifetime); (2) must
not have been modified from the original manufacturer’s specifications; (3) must have an MSRP that does not exceed $50,000;
(4) must be purchased from a dealership for use by the EV Rebate applicant and not for resale; (5) must be sold as new from the
dealership; (6) must be registered at the same Colorado address as the Black Hills Energy customer’s electric service address.",,,"Eligibility can be satsified via membership in several other assistance programs, or income (also several ways). Details in : https://www.blackhillsenergy.com/sites/blackhillsenergy.com/files/2023%20COE%20Income%20Qualified%20EV%20Residential%20Rebate%20Form.pdf",,"homeowner, renter",,,,
CO-26,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,utility,Black Hills Energy,Ready EV Program,https://www.blackhillsenergy.com/efficiency-and-savings/residential-rebates/colorado-electric-residential-rebates,used_electric_vehicle,,"Income qualified rebate up to $3,000 for a used EV with a purchase price up to $50,000",active,1/1/2023,12/31/2023,rebate,"$3,000",dollar_amount,3000,,,3000,,,"– To qualify for the used EV Rebate, the purchased EV: (1) must not have previously received a new or used EV Rebate under this EV Rebate program (each EV can only receive one EV Rebate over its lifetime); (2) must have a purchase price of no more than $50,000, excluding tax, title, and license fees; (3) must be purchased from a dealership for use by the EV Rebate applicant and not for resale; (4) must be sold as used from the dealership; (5) must be registered at the same Colorado address as the Black Hills Energy customer’s electric service address.",,,"Eligibility can be satsified via membership in several other assistance programs, or income (also several ways). Details in : https://www.blackhillsenergy.com/sites/blackhillsenergy.com/files/2023%20COE%20Income%20Qualified%20EV%20Residential%20Rebate%20Form.pdf",,"homeowner, renter",,,,
CO-27,https://www.csu.org/Pages/Insulation.aspx,utility,Colorado Springs Utilities,Residential Efficiency Rebate Program,https://www.csu.org/Pages/ResidentialRebates.aspx,weatherization,,Rebate up to $200 for insulation and air sealing,active,1/1/2023,12/31/2023,rebate,$200,dollar_amount,200,,,200,,,Insulation R-value must meet the U.S. Department of Energy recommended ratings: Attic – R49 – and exterior wall – R13. Attic insulation must include bypass air sealing. ,,Work must be performed by a Colorado Contractor. Do-it-yourself work does not qualify.,,,homeowner,"• This rebate is for retrofit applications only and does not apply to new construction.
• This rebate applies to living quarters only. No garages.",,,
CO-28,https://www.csu.org/Pages/Furnace.aspx,utility,Colorado Springs Utilities,Residential Efficiency Rebate Program,https://www.csu.org/Pages/ResidentialRebates.aspx,heat_pump_air_conditioner_heater,,Rebate up to $500 for an Energy Star certified ducted or ductless air source heat pump.,active,1/1/2023,12/31/2023,rebate,$500,dollar_amount,500,,,500,,,See Energy Star certified ducted and ductless heat pumps.,,Work must be performed by a Colorado Contractor. Do-it-yourself work does not qualify.,,,homeowner,"• This rebate is for retrofit applications only and does not apply to new construction
• Two (2) rebates available per service address every three years
• Provide a Pikes Peak Regional Building Department permit number and pass inspection to qualify for the rebate.
• Heat Pump shall be utilized for total cooling and partial heating. A control system shall be in place to switch from heat pump to
furnace at defined temperature based on building loads and equipment size. Defined switchover temperature should be known by the
owner in case it is needed in the future. ",,,
CO-29,https://www.csu.org/Pages/Furnace.aspx,utility,Colorado Springs Utilities,Residential Efficiency Rebate Program,https://www.csu.org/Pages/ResidentialRebates.aspx,heat_pump_air_conditioner_heater,,Rebate up to $1000 for a qualifying cold climate air source heat pump.,active,1/1/2023,12/31/2023,rebate,"$1,000",dollar_amount,1000,,,1000,,,See NEEP certified cold climate air source heat pump equipment standards here.,,Work must be performed by a Colorado Contractor. Do-it-yourself work does not qualify.,,,homeowner,"• This rebate is for retrofit applications only and does not apply to new construction.
• Provide a Pikes Peak Regional Building Department permit number and pass inspection to qualify for the rebate.
• Existing gas-fired heating appliance may be left in place to handle extreme conditions as long a control system is in place to prioritize
equipment function.
• Two (2) rebates available per service address every three years. ",,,
CO-30,https://www.csu.org/Pages/WaterHeater.aspx,utility,Colorado Springs Utilities,Residential Efficiency Rebate Program,https://www.csu.org/Pages/ResidentialRebates.aspx,heat_pump_water_heater,,Rebate up to $200 on an Energy Star certified heat pump water heater,active,1/1/2023,12/31/2023,rebate,$200,dollar_amount,200,,,200,,,"• Uniform energy factor of 2.20 for 120V/15A.
• Must be ENERGY STAR certified.
",,"Work must be performed by a Colorado Contractor. Do-it-yourself work does not qualify.
",,,homeowner,"• This rebate is for retrofit applications only and does not apply to new construction.
• Provide a Pikes Peak Regional Building Department permit number and pass inspection to qualify for the rebate
• Must be installed according to manufacturer’s instructions, including ducting for heat exchanger airflow when recommended by
manufacturer.
• Two (2) rebates available per service address every three years",,,
CO-31,https://denverhomeenergy.powerappsportals.com/faqs/,local,City and County of Denver,Denver Climate Action Rebate Program-Home Energy Rebates,https://denverhomeenergy.powerappsportals.com/faqs/,heat_pump_air_conditioner_heater,,"Rebate up to 40% of the total cost of an air source heat pump and installation, up to $1,500. Efficiency minimums apply.",active,1/1/2023,,pos_rebate,"$1,500",percent,0.4,,,1500,,,"Efficiency Minimums as of September 1st, 2023
(15.2 SEER2, 11.7 EER2, 7.8 HSPF2)
Efficiency Minimums Prior to September 1st 2023:
(15.0 SEER, 11.5 EER, 9.0 HSPF)*
OR equivalent SEER2/EER2/HSPF2 performance
(14.3 SEER2, 11.0 EER2, 7.7 HSPF2)",,Quality Install Required. Eligible contractors must be an Xcel Registered Trade Partner. The list of Xcel Trade Partners can be found here. Please select the “Heating and Cooling” category and select the “Heat Pumps” or “Air Conditioners” drop down to view the entire list. Applications submitted by non-Xcel certified contractors will be rejected.,,,homeowner,"•Only registered contractors can submit applications to the CARe program on behalf of the Denver resident at the installation address.
• We recommend that you submit product specifications and either the AHRI or NEEP Certificate, with the Pre-application contract. We will review those documents and let you know if the equipment doesn't meet the requirements listed above. 
• To receive an instant rebate through the Denver Climate Action Rebate Program (CARe), equipment must be installed at an address located within the City and County of Denver.
• Resident at the installation address must be an Xcel Energy customer.
• Resident at the installation address must provide contractor with a copy/photo of a recent Xcel Energy utility bill.",,,
CO-32,https://denverhomeenergy.powerappsportals.com/faqs/,local,City and County of Denver,Denver Climate Action Rebate Program-Home Energy Rebates,https://denverhomeenergy.powerappsportals.com/faqs/,heat_pump_air_conditioner_heater,,"Rebate up to 40% of the total cost of a cold climate air source heat pump and installation, up to $3,500. Efficiency minimums apply.",active,1/1/2023,,pos_rebate,"$3,500",percent,0.4,,,3500,,,"At least:
(16 SEER, 10.5 EER, 9.5 HSPF)*
OR equivalent SEER2/EER2/HSPF2 performance
(15.2 SEER2, 10.0 EER2, 8.1 HSPF2)
AND  
Must be listed on ashp.neep.org
Must have a COP at 5F > 1.75 
Must have a minimum 70%, ratio of Capacity at 5F / Capacity at 47F",,Quality Install Required. Eligible contractors must be an Xcel Registered Trade Partner. The list of Xcel Trade Partners can be found here. Please select the “Heating and Cooling” category and select the “Heat Pumps” or “Air Conditioners” drop down to view the entire list. Applications submitted by non-Xcel certified contractors will be rejected.,,,homeowner,"•Only registered contractors can submit applications to the CARe program on behalf of the Denver resident at the installation address.
• We recommend that you submit product specifications and either the AHRI or NEEP Certificate, with the Pre-application contract. We will review those documents and let you know if the equipment doesn't meet the requirements listed above. 
• To receive an instant rebate through the Denver Climate Action Rebate Program (CARe), equipment must be installed at an address located within the City and County of Denver.
• Resident at the installation address must be an Xcel Energy customer.
• Resident at the installation address must provide contractor with a copy/photo of a recent Xcel Energy utility bill.",,,
CO-33,https://denverhomeenergy.powerappsportals.com/faqs/,local,City and County of Denver,Denver Climate Action Rebate Program-Home Energy Rebates,https://denverhomeenergy.powerappsportals.com/faqs/,geothermal_heating_installation,,"Rebate up to 80% of the total cost of a ground source heat pump and installation, up to $3,500. Efficiency minimums apply.",active,1/1/2023,,pos_rebate,"$3,500",percent,0.8,,,3500,,,At least 16 EER,,Quality Install Required. Eligible contractors must be an Xcel Registered Trade Partner. The list of Xcel Trade Partners can be found here. Please select the “Heating and Cooling” category and select the “Heat Pumps” or “Air Conditioners” drop down to view the entire list. Applications submitted by non-Xcel certified contractors will be rejected.,,,homeowner,"•Only registered contractors can submit applications to the CARe program on behalf of the Denver resident at the installation address.
• We recommend that you submit product specifications and either the AHRI or NEEP Certificate, with the Pre-application contract. We will review those documents and let you know if the equipment doesn't meet the requirements listed above. 
• To receive an instant rebate through the Denver Climate Action Rebate Program (CARe), equipment must be installed at an address located within the City and County of Denver.
• Resident at the installation address must be an Xcel Energy customer.
• Resident at the installation address must provide contractor with a copy/photo of a recent Xcel Energy utility bill.",,,
CO-34,https://denverhomeenergy.powerappsportals.com/faqs/,local,City and County of Denver,Denver Climate Action Rebate Program-Home Energy Rebates,https://denverhomeenergy.powerappsportals.com/faqs/,heat_pump_air_conditioner_heater,,"Rebate up to 40% of the total cost of a mini-split heat pump and installation, up to $1,500. Efficiency minimums apply.",active,1/1/2023,,pos_rebate,"$1,500",percent,0.4,,,1500,,,"Efficiency Minimums as of September 1st, 2023
(15.0 SEER, 11.5 EER, 9.0 HSPF)*
OR SEER2/EER2/HSPF2 performance
(15.2 SEER2, 11.5 EER2, 7.8 HSPF2)
Efficiency Minimums Prior to September 1st, 2023 
(15.0 SEER, 11.0 EER, 9.0 HSPF)*
OR equivalent SEER2/EER2/HSPF2 performance
(15.0 SEER2, 11.0 EER2, 8.1 HSPF2)",,Quality Install Required. Eligible contractors must be an Xcel Registered Trade Partner. The list of Xcel Trade Partners can be found here. Please select the “Heating and Cooling” category and select the “Heat Pumps” or “Air Conditioners” drop down to view the entire list. Applications submitted by non-Xcel certified contractors will be rejected.,,,homeowner,"•Only registered contractors can submit applications to the CARe program on behalf of the Denver resident at the installation address.
• We recommend that you submit product specifications and either the AHRI or NEEP Certificate, with the Pre-application contract. We will review those documents and let you know if the equipment doesn't meet the requirements listed above. 
• To receive an instant rebate through the Denver Climate Action Rebate Program (CARe), equipment must be installed at an address located within the City and County of Denver.
• Resident at the installation address must be an Xcel Energy customer.
• Resident at the installation address must provide contractor with a copy/photo of a recent Xcel Energy utility bill.",,,
CO-35,https://denverhomeenergy.powerappsportals.com/faqs/,local,City and County of Denver,Denver Climate Action Rebate Program-Home Energy Rebates,https://denverhomeenergy.powerappsportals.com/faqs/,heat_pump_air_conditioner_heater,,"Rebate up to 40% of the total cost of a cold climate mini-split heat pump and installation, up to $3,500. Efficiency minimums apply.",active,1/1/2023,,pos_rebate,"$3,500",percent,0.4,,,3500,,,"Efficiency Minimums:
16.0 SEER, 9.0 EER, 10.6 HSPF*
OR equivalent SEER2/EER2/HSPF2 performance
16.0 SEER2, 9.0 EER2, 9.5 HSPF2
AND
Must be listed on ashp.neep.org
Must have a COP at 5F > 1.75
Must have a minimum 70%, ratio of Capacity at 5F / Capacity at 47F",,Quality Install Required. Eligible contractors must be an Xcel Registered Trade Partner. The list of Xcel Trade Partners can be found here. Please select the “Heating and Cooling” category and select the “Heat Pumps” or “Air Conditioners” drop down to view the entire list. Applications submitted by non-Xcel certified contractors will be rejected.,,,homeowner,"•Only registered contractors can submit applications to the CARe program on behalf of the Denver resident at the installation address.
• We recommend that you submit product specifications and either the AHRI or NEEP Certificate, with the Pre-application contract. We will review those documents and let you know if the equipment doesn't meet the requirements listed above. 
• To receive an instant rebate through the Denver Climate Action Rebate Program (CARe), equipment must be installed at an address located within the City and County of Denver.
• Resident at the installation address must be an Xcel Energy customer.
• Resident at the installation address must provide contractor with a copy/photo of a recent Xcel Energy utility bill.",,,
